tconst,nconst,characters
tt0012349,nm0088471,"[""His Assistant""]"
tt0012349,nm0000122,"[""A Tramp""]"
tt0012349,nm0701012,"[""The Woman""]"
tt0012349,nm0001067,"[""The Child""]"
tt0012349,nm0588033,"[""The Man""]"
tt0012349,nm0042317,"[""Car Thief"",""Man in Shelter""]"
tt0012349,nm0047800,"[""Bride""]"
tt0012349,nm0048798,"[""Slum Nurse""]"
tt0012349,nm0074788,"[""Professor Guido"",""Night Shelter Keeper""]"
tt0012349,nm0080930,"[""Orphan Asylum Driver""]"
tt0015864,nm1027682,"[""Eskimo Child""]"
tt0015864,nm0000122,"[""The Lone Prospector""]"
tt0015864,nm0841501,"[""Big Jim McKay""]"
tt0015864,nm0615306,"[""Black Larsen""]"
tt0015864,nm0074788,"[""Hank Curtis""]"
tt0015864,nm0906618,"[""Jack Cameron""]"
tt0015864,nm0354913,"[""Georgia""]"
tt0015864,nm1033900,"[""Man in Dance Hall""]"
tt0017136,nm0375609,"[""Maria"",""Maschinenmensch"",""The Machine Man""]"
tt0017136,nm0002154,"[""Johann (Joh) Fredersen""]"
tt0017136,nm0297054,"[""Freder Fredersen - Joh Fredersens Sohn""]"
tt0017136,nm0459030,"[""Erfinder C.A. Rotwang"",""The Inventor""]"
tt0017925,nm0000036,"[""Johnnie Gray""]"
tt0017925,nm0533045,"[""Annabelle Lee""]"
tt0017925,nm0147070,"[""Captain Anderson""]"
tt0017925,nm0267650,"[""General Thatcher""]"
tt0018455,nm0639563,"[""The Man""]"
tt0018455,nm0310980,"[""The Wife""]"
tt0018455,nm0515272,"[""The Woman From the City""]"
tt0018455,nm0743017,"[""The Maid""]"
tt0019254,nm0266029,"[""Jeanne d'Arc""]"
tt0019254,nm0798564,"[""Évêque Pierre Cauchon (Bishop Pierre Cauchon)""]"
tt0019254,nm0075551,"[""Jean d'Estivet""]"
tt0019254,nm0776914,"[""Nicolas Loyseleur""]"
tt0021749,nm0000122,"[""A Tramp""]"
tt0021749,nm0156039,"[""A Blind Girl""]"
tt0021749,nm5681967,"[""The Blind Girl's Grandmother""]"
tt0021749,nm0616729,"[""An Eccentric Millionaire""]"
tt0022100,nm0000048,"[""Hans Beckert""]"
tt0022100,nm0927145,"[""Frau Beckmann""]"
tt0022100,nm0484737,"[""Elsie Beckmann""]"
tt0022100,nm0921532,"[""Inspector Karl Lohmann""]"
tt0025316,nm0858977,"[""King Westley""]"
tt0025316,nm0000022,"[""Peter Warne""]"
tt0025316,nm0001055,"[""Ellie Andrews""]"
tt0025316,nm0175369,"[""Alexander Andrews""]"
tt0025316,nm0439850,"[""Oscar Shapeley""]"
tt0027977,nm0305087,"[""President of the Electro Steel Corp.""]"
tt0027977,nm0000122,"[""A Factory Worker""]"
tt0027977,nm0002104,"[""A Gamin""]"
tt0027977,nm0074788,"[""Cafe Proprietor""]"
tt0027977,nm0761866,"[""Big Bill""]"
tt0027977,nm0174682,"[""Mechanic""]"
tt0027977,nm0003424,"[""Burglar""]"
tt0027977,nm0090008,"[""Gamin's Father""]"
tt0031381,nm0000022,"[""Rhett Butler - Visitor from Charleston""]"
tt0031381,nm0000046,"[""Scarlett O'Hara - Their Daughter""]"
tt0031381,nm0593775,"[""Gerald O'Hara""]"
tt0031381,nm0641966,"[""Ellen O'Hara - Gerald's Wife""]"
tt0031679,nm0000071,"[""Jefferson Smith""]"
tt0031679,nm0000795,"[""Saunders""]"
tt0031679,nm0001647,"[""Senator Joseph Paine""]"
tt0031679,nm0036427,"[""Jim Taylor""]"
tt0032138,nm0000023,"[""Dorothy Gale""]"
tt0032138,nm0604656,"[""Professor Marvel"",""The Gatekeeper"",""The Carriage Driver""]"
